"All test cases below should be initiated with the following initial conditions:
CFTP.FILEMANAGER.SHARE.048,Verify able to cancel Change Expiry for two shared without password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Set Sharing, and Delete",,,
,,,Select Change Expiry option,,The Change Expiry form appears,,,
,,,Click on the Cancel button,,The old Expiry date is still applied,,,
CFTP.FILEMANAGER.SHARE.049,Verify able to Set Password for two shared without password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Set Sharing, and Delete",,,
,,,Select Set Password option,,The Set Password form appears,,,
,,,Click on the OK button,,The status of selected files is changed to Password Protected,,,
CFTP.FILEMANAGER.SHARE.050,Verify able to cancel Set Password for two shared without password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Set Sharing, and Delete",,,
,,,Select Set Password option,,The Set Password form appears,,,
,,,Click on the Cancel button,,The status of selected files is still Public,,,
CFTP.FILEMANAGER.SHARE.051,Verify able to Stop Sharing for two shared without password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Set Sharing, and Delete",,,
,,,Select Stop Sharing option,,The Stop Sharing form appears,,,
,,,Click on the OK button,,The status of selected files is changed to Stopped,,,
CFTP.FILEMANAGER.SHARE.052,Verify able to cancel Stop Sharing for two shared without password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Set Sharing, and Delete",,,
,,,Select Stop Sharing option,,The Stop Sharing form appears,,,
,,,Click on the Cancel button,,The status of selected files is still Public,,,
CFTP.FILEMANAGER.SHARE.053,Verify able to Delete for two shared without password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Set Sharing, and Delete",,,
,,,Select Delete option,,The Remove Share form appears,,,
,,,Click on the OK button,,The selected filed are deleted,,,
CFTP.FILEMANAGER.SHARE.054,Verify able to cancel Delete for two shared without password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Set Sharing, and Delete",,,
,,,Select Delete option,,The Remove Share form appears,,,
,,,Click on the Cancel button,,The status of selected files is still Public,,,
CFTP.FILEMANAGER.SHARE.055,"Verify Restart Sharing for two files ""Stopped sharing""",- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Stopped,,,,,
,,,Right click on them,,The option list will show as: Restart Sharing and Delete,,,
,,,"Select ""Restart Sharing"" in the option list",,"""Share Restarted"" form appears ",,,
,,,Click on the OK button,,"The file is shared again, the status of the is public",,,
CFTP.FILEMANAGER.SHARE.056,"Verify deleting for two files ""Stopped""",- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Stopped,,,,,
,,,Right click on them,,The option list will show as: Restart Sharing and Delete,,,
,,,"Select ""Delete"" in the option list",,"""Remove Share"" form appears ",,,
,,,Click on the OK button,,"The file is deleted, no longer in the list",,,
CFTP.FILEMANAGER.SHARE.057,"Verify canceling deleting for two files ""Stopped""",- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Stopped,,,,,
,,,Right click on them,,The option list will show as: Restart Sharing and Delete,,,
,,,"Select ""Delete"" in the option list",,"""Remove Share"" form appears ",,,
,,,Click on the CANCEL button,,The file is still in the list,,,
CFTP.FILEMANAGER.SHARE.058,Verify able to copy link for two files which have status are Public and Stopped,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public and Stopped,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, Restart Sharing and Delete",,,
,,,Select Copy Link option,,The Copy Link form appears: 2 links copied to clipboard!,,,
,,,Click on the OK button,,The Copy Link for closed,,,
CFTP.FILEMANAGER.SHARE.059,Verify able to Change Expiry for two files which have status are Public and Stopped,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public and Stopped,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, Restart Sharing and Delete",,,
,,,Select Change Expiry option,,The Change Expiry form appears,,,
,,,Enter the new expiry date ,,,,,
,,,Click on the OK button,,The new Expiry date is applied for both files,,,
CFTP.FILEMANAGER.SHARE.060,Verify able to cancel Change Expiry for two files which have status are Public and Stopped,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public and Stopped,,,,,
